2025-02-04 01:52:42 [INFO]: Loading Overrides...
2025-02-04 01:52:42 [INFO]: Loading World Types...
2025-02-04 01:52:42 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-02-04 01:52:42 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-02-04 01:52:42 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-02-04 01:52:42 [INFO]: Loading Defaults...
2025-02-04 01:52:42 [INFO]: Loading Custom Worlds...
2025-02-04 01:52:42 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-02-04 01:52:42 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-02-04 01:52:50 [INFO]: Database COOLDOWN:world configured and loaded!
2025-02-04 01:52:50 [INFO]: Database PLAYERS:Players configured and loaded!
2025-02-04 01:52:50 [INFO]: Database QUEUE:Queue configured and loaded!
2025-02-04 01:52:50 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-02-04 01:52:50 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-02-04 01:52:50 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-02-04 01:52:50 [INFO]: Database COOLDOWN:mine configured and loaded!
2025-02-04 01:52:50 [INFO]: Database COOLDOWN:isla configured and loaded!
2025-02-04 01:52:50 [INFO]: Database COOLDOWN:dungeon configured and loaded!
2025-02-04 01:52:51 [INFO]: Attempting to queue up some more safe locations...
2025-02-04 01:53:00 [INFO]: Queue position generated: id= default_world, database_ID= 341, location= x: -278, y: 64, z: -310, world: world
2025-02-04 01:53:01 [INFO]: Queue position generated: id= default_world, database_ID= 342, location= x: -307, y: 70, z: 427, world: world
2025-02-04 01:53:03 [INFO]: Queue position generated: id= default_world, database_ID= 343, location= x: 199, y: 70, z: -92, world: world
2025-02-04 01:53:05 [INFO]: Queue position generated: id= default_world, database_ID= 344, location= x: 277, y: 96, z: 120, world: world
2025-02-04 01:53:07 [INFO]: Queue position generated: id= default_world, database_ID= 345, location= x: 450, y: 127, z: 286, world: world
2025-02-04 01:53:08 [INFO]: Queue position generated: id= default_world, database_ID= 346, location= x: 50, y: 66, z: 261, world: world
2025-02-04 01:53:09 [INFO]: Queue position generated: id= default_world, database_ID= 347, location= x: -225, y: 74, z: 228, world: world
2025-02-04 01:53:10 [INFO]: Queue position generated: id= default_world, database_ID= 348, location= x: -311, y: 67, z: 267, world: world
2025-02-04 01:53:11 [INFO]: Queue position generated: id= default_world, database_ID= 349, location= x: 214, y: 69, z: 82, world: world
2025-02-04 01:53:12 [INFO]: Queue position generated: id= default_world, database_ID= 350, location= x: 471, y: 128, z: 197, world: world
2025-02-04 01:53:13 [INFO]: Queue position generated: id= default_world, database_ID= 351, location= x: -324, y: 71, z: -311, world: world
2025-02-04 01:53:14 [INFO]: Queue position generated: id= default_world, database_ID= 352, location= x: -346, y: 68, z: 351, world: world
2025-02-04 01:53:15 [INFO]: Queue position generated: id= default_world, database_ID= 353, location= x: 432, y: 68, z: -134, world: world
2025-02-04 01:53:17 [INFO]: Queue position generated: id= default_world, database_ID= 354, location= x: -180, y: 75, z: 197, world: world
2025-02-04 01:53:18 [INFO]: Queue position generated: id= default_world, database_ID= 355, location= x: 317, y: 105, z: 24, world: world
2025-02-04 01:53:21 [INFO]: Queue position generated: id= default_world, database_ID= 356, location= x: -236, y: 73, z: -66, world: world
2025-02-04 01:53:22 [INFO]: Queue position generated: id= default_world, database_ID= 357, location= x: -250, y: 71, z: -254, world: world
2025-02-04 01:53:23 [INFO]: Queue position generated: id= default_world, database_ID= 358, location= x: 364, y: 116, z: 364, world: world
2025-02-04 01:53:24 [INFO]: Queue position generated: id= default_world, database_ID= 359, location= x: 61, y: 73, z: -152, world: world
2025-02-04 01:53:25 [INFO]: Queue position generated: id= default_world, database_ID= 360, location= x: -44, y: 70, z: 363, world: world
2025-02-04 01:53:27 [INFO]: Queue position generated: id= default_world, database_ID= 361, location= x: 165, y: 65, z: -416, world: world
2025-02-04 01:53:29 [INFO]: Queue position generated: id= default_world, database_ID= 362, location= x: -324, y: 71, z: -68, world: world
2025-02-04 01:53:33 [INFO]: Queue position generated: id= default_world, database_ID= 363, location= x: 417, y: 126, z: 345, world: world
2025-02-04 01:53:35 [INFO]: Queue position generated: id= default_world, database_ID= 364, location= x: -153, y: 73, z: -146, world: world
2025-02-04 01:53:38 [INFO]: Queue position generated: id= default_world, database_ID= 365, location= x: 402, y: 120, z: 307, world: world
2025-02-04 01:53:39 [INFO]: Queue position generated: id= default_world, database_ID= 366, location= x: -377, y: 74, z: 258, world: world
2025-02-04 01:53:40 [INFO]: Queue position generated: id= default_world, database_ID= 367, location= x: 162, y: 63, z: -461, world: world
2025-02-04 01:53:41 [INFO]: Queue position generated: id= default_world, database_ID= 368, location= x: -113, y: 75, z: -388, world: world
2025-02-04 01:53:44 [INFO]: Queue position generated: id= default_world, database_ID= 369, location= x: 454, y: 117, z: 194, world: world
2025-02-04 01:53:45 [INFO]: Queue position generated: id= default_world, database_ID= 370, location= x: 144, y: 71, z: 451, world: world
2025-02-04 01:53:46 [INFO]: Queue position generated: id= default_world, database_ID= 371, location= x: -50, y: 63, z: 14, world: world
2025-02-04 01:53:47 [INFO]: Queue position generated: id= default_world, database_ID= 372, location= x: -242, y: 70, z: -310, world: world
2025-02-04 01:53:48 [INFO]: Max queue reached for default_world (amount: 32) lastCount: 0
2025-02-04 01:53:48 [INFO]: Queueing paused, max queue limit reached!
